year,sex,industry1,industry2,employment_status,employed
2013,Female,Services,Administrative And Support Services,Employees,39100
2013,Female,Services,Administrative And Support Services,Own Account Workers,2100
2013,Female,Services,Administrative And Support Services,Contributing Family Workers,200
2013,Female,Services,Public Administration And Education,Employers,2200
2013,Female,Services,Public Administration And Education,Employees,117900
2013,Female,Services,Public Administration And Education,Own Account Workers,8900
2013,Female,Services,Public Administration And Education,Contributing Family Workers,100
2013,Female,Services,Health And Social Services,Employers,1800
2013,Female,Services,Health And Social Services,Employees,69500
2013,Female,Services,Health And Social Services,Own Account Workers,700
2013,Female,Services,Health And Social Services,Contributing Family Workers,100
2013,Female,Services,"Arts, Entertainment And Recreation",Employers,800
2013,Female,Services,"Arts, Entertainment And Recreation",Employees,15500
2013,Female,Services,"Arts, Entertainment And Recreation",Own Account Workers,900
2013,Female,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,0
2013,Female,Services,"Other Community, Social And Personal Services",Employers,3700
2013,Female,Services,"Other Community, Social And Personal Services",Employees,26300
2013,Female,Services,"Other Community, Social And Personal Services",Own Account Workers,7500
2013,Female,Services,"Other Community, Social And Personal Services",Contributing Family Workers,400
2013,Female,Others,Others,Employers,300
2013,Female,Others,Others,Employees,7300
2013,Female,Others,Others,Own Account Workers,100
2013,Female,Others,Others,Contributing Family Workers,0
2014,Male,Manufacturing,Manufacturing,Employers,8900
2014,Male,Manufacturing,Manufacturing,Employees,150900
2014,Male,Manufacturing,Manufacturing,Own Account Workers,2800
2014,Male,Manufacturing,Manufacturing,Contributing Family Workers,300
2014,Male,Construction,Construction,Employers,10700
2014,Male,Construction,Construction,Employees,55300
2014,Male,Construction,Construction,Own Account Workers,6800
2014,Male,Construction,Construction,Contributing Family Workers,200
2014,Male,Services,Wholesale And Retail Trade,Employers,23300
2014,Male,Services,Wholesale And Retail Trade,Employees,135400
2014,Male,Services,Wholesale And Retail Trade,Own Account Workers,16200
2014,Male,Services,Wholesale And Retail Trade,Contributing Family Workers,1400
2014,Male,Services,Transportation And Storage,Employers,4800
2014,Male,Services,Transportation And Storage,Employees,90300
2014,Male,Services,Transportation And Storage,Own Account Workers,47800
2014,Male,Services,Transportation And Storage,Contributing Family Workers,0
2014,Male,Services,Accommodation And Food Services,Employers,5200
2014,Male,Services,Accommodation And Food Services,Employees,48900
2014,Male,Services,Accommodation And Food Services,Own Account Workers,5600
2014,Male,Services,Accommodation And Food Services,Contributing Family Workers,1000
2014,Male,Services,Information And Communications,Employers,3200
