year,sex,industry1,industry2,employment_status,employed
2024,male,services,real estate services,own account workers,9800
2024,male,services,real estate services,contributing family workers,100
2024,male,services,professional services,employers,7700
2024,male,services,professional services,employees,85600
2024,male,services,professional services,own account workers,7600
2024,male,services,professional services,contributing family workers,200
2024,male,services,administrative and support services,employers,3000
2024,male,services,administrative and support services,employees,65800
2024,male,services,administrative and support services,own account workers,3100
2024,male,services,administrative and support services,contributing family workers,0
2024,male,services,public administration and education,employers,1500
2024,male,services,public administration and education,employees,152300
2024,male,services,public administration and education,own account workers,6400
2024,male,services,public administration and education,contributing family workers,100
2024,male,services,health and social services,employers,1700
2024,male,services,health and social services,employees,35900
2024,male,services,health and social services,own account workers,1100
2024,male,services,health and social services,contributing family workers,0
2024,male,services,"arts, entertainment and recreation",employers,900
2024,male,services,"arts, entertainment and recreation",employees,16200
2024,male,services,"arts, entertainment and recreation",own account workers,1300
2024,male,services,"arts, entertainment and recreation",contributing family workers,0
2024,male,services,"other community, social and personal services",employers,2400
2024,male,services,"other community, social and personal services",employees,23300
2024,male,services,"other community, social and personal services",own account workers,3300
2024,male,services,"other community, social and personal services",contributing family workers,100
2024,male,others,others,employers,600
2024,male,others,others,employees,14900
2024,male,others,others,own account workers,200
2024,male,others,others,contributing family workers,0
2024,female,manufacturing,manufacturing,employers,1600
