employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,Key
89.1,83.6,3443.0,3300.0,3517.0,3400.0,3190.0,3800.0,330
80.6,74.2,3156.0,3100.0,3216.0,3100.0,2800.0,3400.0,331
94.6,87.5,3496.0,3350.0,3570.0,3350.0,3000.0,4000.0,332
94.2,88.5,3305.0,3300.0,3328.0,3398.0,3083.0,3500.0,333
81.3,73.5,3197.0,3200.0,3317.0,3300.0,3000.0,3500.0,334
,,,,,,,,335
86.0,79.9,3417.0,3300.0,3505.0,3350.0,3050.0,3959.0,336
,,,,,,,,337
79.7,46.6,2718.0,2700.0,2761.0,2700.0,2500.0,3000.0,338
91.1,74.7,3239.0,3300.0,3345.0,3300.0,3050.0,3500.0,339
87.7,69.6,2938.0,2900.0,2996.0,3000.0,2575.0,3365.0,340
91.3,79.3,3385.0,3300.0,3440.0,3300.0,3000.0,3850.0,341
75.0,54.2,2974.0,3000.0,2997.0,3000.0,2700.0,3400.0,342
87.2,76.6,3027.0,3000.0,3082.0,3000.0,2700.0,3500.0,343
81.8,61.8,3283.0,3315.0,3368.0,3365.0,2960.0,3500.0,344
82.1,66.7,3083.0,3100.0,3136.0,3200.0,2800.0,3500.0,345
,,,,,,,,346
86.1,63.9,3279.0,3300.0,3480.0,3500.0,3000.0,3850.0,347
94.4,88.9,2525.0,2400.0,2577.0,2500.0,2150.0,2800.0,348
80.5,64.0,3132.0,3100.0,3222.0,3175.0,3000.0,3550.0,349
80.6,64.2,3119.0,3000.0,3234.0,3149.0,2925.0,3500.0,350
88.5,76.9,3453.0,3400.0,3535.0,3500.0,3200.0,3750.0,351
89.4,72.7,3346.0,3150.0,3458.0,3300.0,3000.0,3750.0,352
85.7,77.1,3578.0,3350.0,3683.0,3450.0,3100.0,4000.0,353
83.1,66.1,3196.0,3100.0,3272.0,3200.0,2825.0,3500.0,354
100.0,100.0,3337.0,3500.0,3525.0,3525.0,3400.0,3615.0,355
100.0,100.0,3438.0,3500.0,3546.0,3525.0,3500.0,3850.0,356
86.1,62.5,2971.0,3000.0,3063.0,3000.0,2600.0,3200.0,357
